#nNodeR = 100 ,nNodeZ = 100
R Z Phi
1e-05 1e-05 0
3e-05 1e-05 0
5e-05 1e-05 0
7e-05 1e-05 0
9e-05 1e-05 0
0.00011 1e-05 0
0.00013 1e-05 0
0.00015 1e-05 0
0.00017 1e-05 0
0.00019 1e-05 0
0.00021 1e-05 0
0.00023 1e-05 0
0.00025 1e-05 0
0.00027 1e-05 0
0.00029 1e-05 0
0.00031 1e-05 0
0.00033 1e-05 0
0.00035 1e-05 0
0.00037 1e-05 0
0.00039 1e-05 0
0.00041 1e-05 0
0.00043 1e-05 0
0.00045 1e-05 0
0.00047 1e-05 0
0.00049 1e-05 0
0.00051 1e-05 0
0.00053 1e-05 0
0.00055 1e-05 0
0.00057 1e-05 0
0.00059 1e-05 0
0.00061 1e-05 0
0.00063 1e-05 0
0.00065 1e-05 0
0.00067 1e-05 0
0.00069 1e-05 0
0.00071 1e-05 0
0.00073 1e-05 0
0.00075 1e-05 0
0.00077 1e-05 0
0.00079 1e-05 0
0.00081 1e-05 0
0.00083 1e-05 0
0.00085 1e-05 0
0.00087 1e-05 0
0.00089 1e-05 0
0.00091 1e-05 0
0.00093 1e-05 0
0.00095 1e-05 0
0.00097 1e-05 0
0.00099 1e-05 0
0.00101 1e-05 0
0.00103 1e-05 0
0.00105 1e-05 0
0.00107 1e-05 0
0.00109 1e-05 0
0.00111 1e-05 0
0.00113 1e-05 0
0.00115 1e-05 0
0.00117 1e-05 0
0.00119 1e-05 0
0.00121 1e-05 0
0.00123 1e-05 0
0.00125 1e-05 0
0.00127 1e-05 0
0.00129 1e-05 0
0.00131 1e-05 0
0.00133 1e-05 0
0.00135 1e-05 0
0.00137 1e-05 0
0.00139 1e-05 0
0.00141 1e-05 0
0.00143 1e-05 0
0.00145 1e-05 0
0.00147 1e-05 0
0.00149 1e-05 0
0.00151 1e-05 0
0.00153 1e-05 0
0.00155 1e-05 0
0.00157 1e-05 0
0.00159 1e-05 0
0.00161 1e-05 0
0.00163 1e-05 0
0.00165 1e-05 0
0.00167 1e-05 0
0.00169 1e-05 0
0.00171 1e-05 0
0.00173 1e-05 0
0.00175 1e-05 0
0.00177 1e-05 0
0.00179 1e-05 0
0.00181 1e-05 0
0.00183 1e-05 0
0.00185 1e-05 0
0.00187 1e-05 0
0.00189 1e-05 0
0.00191 1e-05 0
0.00193 1e-05 0
0.00195 1e-05 0
0.00197 1e-05 0
0.00199 1e-05 0
1e-05 3e-05 0
3e-05 3e-05 0
5e-05 3e-05 0
7e-05 3e-05 0
9e-05 3e-05 0
0.00011 3e-05 0
0.00013 3e-05 0
0.00015 3e-05 0
0.00017 3e-05 0
0.00019 3e-05 0
0.00021 3e-05 0
0.00023 3e-05 0
0.00025 3e-05 0
0.00027 3e-05 0
0.00029 3e-05 0
0.00031 3e-05 0
0.00033 3e-05 0
0.00035 3e-05 0
0.00037 3e-05 0
0.00039 3e-05 0
0.00041 3e-05 0
0.00043 3e-05 0
0.00045 3e-05 0
0.00047 3e-05 0
0.00049 3e-05 0
0.00051 3e-05 0
0.00053 3e-05 0
0.00055 3e-05 0
0.00057 3e-05 0
0.00059 3e-05 0
0.00061 3e-05 0
0.00063 3e-05 0
0.00065 3e-05 0
0.00067 3e-05 0
0.00069 3e-05 0
0.00071 3e-05 0
0.00073 3e-05 0
0.00075 3e-05 0
0.00077 3e-05 0
0.00079 3e-05 0
0.00081 3e-05 0
0.00083 3e-05 0
0.00085 3e-05 0
0.00087 3e-05 0
0.00089 3e-05 0
0.00091 3e-05 0
0.00093 3e-05 0
0.00095 3e-05 0
0.00097 3e-05 0
0.00099 3e-05 0
0.00101 3e-05 0
0.00103 3e-05 0
0.00105 3e-05 0
0.00107 3e-05 0
0.00109 3e-05 0
0.00111 3e-05 0
0.00113 3e-05 0
0.00115 3e-05 0
0.00117 3e-05 0
0.00119 3e-05 0
0.00121 3e-05 0
0.00123 3e-05 0
0.00125 3e-05 0
0.00127 3e-05 0
0.00129 3e-05 0
0.00131 3e-05 0
0.00133 3e-05 0
0.00135 3e-05 0
0.00137 3e-05 0
0.00139 3e-05 0
0.00141 3e-05 0
0.00143 3e-05 0
0.00145 3e-05 0
0.00147 3e-05 0
0.00149 3e-05 0
0.00151 3e-05 0
0.00153 3e-05 0
0.00155 3e-05 0
0.00157 3e-05 0
0.00159 3e-05 0
0.00161 3e-05 0
0.00163 3e-05 0
0.00165 3e-05 0
0.00167 3e-05 0
0.00169 3e-05 0
0.00171 3e-05 0
0.00173 3e-05 0
0.00175 3e-05 0
0.00177 3e-05 0
0.00179 3e-05 0
0.00181 3e-05 0
0.00183 3e-05 0
0.00185 3e-05 0
0.00187 3e-05 0
0.00189 3e-05 0
0.00191 3e-05 0
0.00193 3e-05 0
0.00195 3e-05 0
0.00197 3e-05 0
0.00199 3e-05 0
1e-05 5e-05 0
3e-05 5e-05 0
5e-05 5e-05 0
7e-05 5e-05 0
9e-05 5e-05 0
0.00011 5e-05 0
0.00013 5e-05 0
0.00015 5e-05 0
0.00017 5e-05 0
0.00019 5e-05 0
0.00021 5e-05 0
0.00023 5e-05 0
0.00025 5e-05 0
0.00027 5e-05 0
0.00029 5e-05 0
0.00031 5e-05 0
0.00033 5e-05 0
0.00035 5e-05 0
0.00037 5e-05 0
0.00039 5e-05 0
0.00041 5e-05 0
0.00043 5e-05 0
0.00045 5e-05 0
0.00047 5e-05 0
0.00049 5e-05 0
0.00051 5e-05 0
0.00053 5e-05 0
0.00055 5e-05 0
0.00057 5e-05 0
0.00059 5e-05 0
0.00061 5e-05 0
0.00063 5e-05 0
0.00065 5e-05 0
0.00067 5e-05 0
0.00069 5e-05 0
0.00071 5e-05 0
0.00073 5e-05 0
0.00075 5e-05 0
0.00077 5e-05 0
0.00079 5e-05 0
0.00081 5e-05 0
0.00083 5e-05 0
0.00085 5e-05 0
0.00087 5e-05 0
0.00089 5e-05 0
0.00091 5e-05 0
0.00093 5e-05 0
0.00095 5e-05 0
0.00097 5e-05 0
0.00099 5e-05 0
0.00101 5e-05 0
0.00103 5e-05 0
0.00105 5e-05 0
0.00107 5e-05 0
0.00109 5e-05 0
0.00111 5e-05 0
0.00113 5e-05 0
0.00115 5e-05 0
0.00117 5e-05 0
0.00119 5e-05 0
0.00121 5e-05 0
0.00123 5e-05 0
0.00125 5e-05 0
0.00127 5e-05 0
0.00129 5e-05 0
0.00131 5e-05 0
0.00133 5e-05 0
0.00135 5e-05 0
0.00137 5e-05 0
0.00139 5e-05 0
0.00141 5e-05 0
0.00143 5e-05 0
0.00145 5e-05 0
0.00147 5e-05 0
0.00149 5e-05 0
0.00151 5e-05 0
0.00153 5e-05 0
0.00155 5e-05 0
0.00157 5e-05 0
0.00159 5e-05 0
0.00161 5e-05 0
0.00163 5e-05 0
0.00165 5e-05 0
0.00167 5e-05 0
0.00169 5e-05 0
0.00171 5e-05 0
0.00173 5e-05 0
0.00175 5e-05 0
0.00177 5e-05 0
0.00179 5e-05 0
0.00181 5e-05 0
0.00183 5e-05 0
0.00185 5e-05 0
0.00187 5e-05 0
0.00189 5e-05 0
0.00191 5e-05 0
0.00193 5e-05 0
0.00195 5e-05 0
0.00197 5e-05 0
0.00199 5e-05 0
1e-05 7e-05 0
3e-05 7e-05 0
5e-05 7e-05 0
7e-05 7e-05 0
9e-05 7e-05 0
0.00011 7e-05 0
0.00013 7e-05 0
0.00015 7e-05 0
0.00017 7e-05 0
0.00019 7e-05 0
0.00021 7e-05 0
0.00023 7e-05 0
0.00025 7e-05 0
0.00027 7e-05 0
